"subjectId" "activity" "V1" "V2" "V3" "V4" "V5" "V40" "V41" "V42" "V43" "V44" "V45" "V80" "V81" "V82" "V83" "V84" "V85" "V120" "V121" "V122" "V123" "V124" "V125" "V160" "V161" "V162" "V163" "V164" "V165" "V200" "V201" "V213" "V214" "V226" "V227" "V239" "V240" "V252" "V253" "V265" "V266" "V267" "V268" "V269" "V270" "V344" "V345" "V346" "V347" "V348" "V349" "V423" "V424" "V425" "V426" "V427" "V428" "V502" "V503" "V515" "V516" "V528" "V529" "V541" "V542"
"1" 2 "walking" 0.27311311578808 -0.0191323183174834 -0.115649958175497 -0.605586497159271 -0.428962986589404 0.194535818751225 0.660782866688742 -0.147219886910411 0.134865335090728 -0.963015508245033 -0.960033560165563 0.0691912329423841 0.0785353156747351 0.00708771249764901 0.000755760748377483 -0.557809603123841 -0.491875889831788 0.155085641165397 -0.0517030657821192 -0.0568420186817881 0.0872599422291391 -0.710648927815894 -0.722943674337748 -0.169148962615563 -0.0875587491668874 -0.0433986835453642 -0.0557541828188742 -0.671679103311258 -0.783595466728477 -0.239284362336755 -0.535281800541722 -0.0570892316399371 -0.535281800541722 -0.0570892316399371 -0.587777445435431 0.0688931637195364 -0.614771054893146 -0.0766789491913907 -0.746559539039735 -0.00727562749645695 -0.57377091142947 -0.432566581302351 -0.630081222124834 -0.619788102803311 -0.464723862913245 -0.961691047019868 -0.561682049622185 -0.50890379901457 -0.715745330403973 -0.595105612895033 -0.509147543673841 -0.962758089536424 -0.638717694593046 -0.722068978635762 -0.601594889654305 -0.734588540182119 -0.72716774102649 -0.923628837119205 -0.514569861316887 -0.685566062996689 -0.509746432970861 -0.593132222930066 -0.699742945221854 -0.605982196850993 -0.751615078360927
"2" 4 "walking" 0.274183111498423 -0.0148081545344921 -0.107521430810726 -0.605211727785489 -0.509929384011325 0.0536488726544164 0.706593043123028 0.112591195496986 0.164130896618297 -0.962636979274448 -0.941416800167192 0.128165440966877 0.078863784515142 0.00351340949514196 -0.00737375142832808 -0.631853083289621 -0.584063204701893 0.120329533513211 -0.0289417906907571 -0.0787229907785489 0.0957174866009464 -0.701397703369085 -0.79823574873817 -0.0576250513376972 -0.107859315713249 -0.0400427574662461 -0.0578089304000631 -0.723788617823344 -0.902502592618297 -0.0633908272408517 -0.56158213510694 -0.0458894548291167 -0.56158213510694 -0.0458894548291167 -0.656116311856877 -0.00490527515883281 -0.656291093847319 0.0579308807350473 -0.819191368044164 -0.140723275164984 -0.628806379100946 -0.52583456615142 -0.755235428895899 -0.597551324155678 -0.534661524341987 -0.982081375678234 -0.652023078038801 -0.601696223759495 -0.825154871135647 -0.644622004704416 -0.593855151524606 -0.983123317949527 -0.641881977553943 -0.831527531009464 -0.689308946422713 -0.721749187328076 -0.782885735867508 -0.941390245047319 -0.602098037677603 -0.58316700245836 -0.63501900541041 -0.562303965280442 -0.745650754608833 -0.527797350798107 -0.838833209652997
"3" 9 "walking" 0.270313841621528 -0.0209466555412396 -0.101233826213889 -0.555656544538194 -0.5758878952125 0.0212079795342014 0.670845545555556 -0.0467446999509028 0.104353653032743 -0.958784666180555 -0.949938115208333 0.0873824099399306 0.0840171430291667 0.00678485848399306 -0.00102998088194444 -0.578305161360069 -0.678923872274306 -0.114241692174028 -0.0701318154561458 -0.0729884312991667 0.109092913237986 -0.676452392569444 -0.670498220701389 0.0503765347979167 -0.0892254930640278 -0.0397344421815972 -0.053402884281875 -0.7617108665625 -0.773273878854167 0.118754676428472 -0.505183470509187 -0.0572281955868056 -0.505183470509187 -0.0572281955868056 -0.621608245092361 -0.129470527798958 -0.550201866572569 -0.0817126595448611 -0.7629795809375 -0.196946325668229 -0.579258404408681 -0.610267804090278 -0.592119122804271 -0.547995744907986 -0.586766083232639 -0.963659764305556 -0.621377141312847 -0.699766614569444 -0.702931927996528 -0.572819893733993 -0.679065855003472 -0.964194555694444 -0.639863219559028 -0.683924287600694 -0.612680463163889 -0.690689895534722 -0.667203220760417 -0.982376583125 -0.553186448295139 -0.654877788232639 -0.609193721940625 -0.448280031316667 -0.700863097986111 -0.584530174336042 -0.786473954201389
"4" 10 "walking" 0.27684847392517 -0.017835790552415 -0.111301532185714 -0.537807711163265 -0.497405885644898 -0.0105053140642857 0.642905730306122 -0.0740248544557823 0.0552047227876769 -0.965808126428572 -0.95452407255102 0.0424911581605442 0.0798108613061224 0.0129143257457823 -0.0113556967940476 -0.52938321427551 -0.540236619204728 -0.101968431707143 -0.0185023695936054 -0.0846403674590918 0.0910265011879252 -0.67390558227449 -0.591333155194558 0.0229200153863946 -0.108150829882313 -0.0424219983671769 -0.0555521277515646 -0.703243499727891 -0.768641779047619 0.0500199121836735 -0.502500207000204 -0.121168723757922 -0.502500207000204 -0.121168723757922 -0.57776193128833 -0.0195124193033255 -0.521819802352381 -0.0650336248039456 -0.734465805340136 -0.171350284064286 -0.532289464513605 -0.494651474235034 -0.655062273211565 -0.541170169070068 -0.532135172812313 -0.940760114387755 -0.547243039827891 -0.555104553563503 -0.721689700769728 -0.553403478735408 -0.556271725483333 -0.941863349217687 -0.620379208870442 -0.64835059542517 -0.567456661721769 -0.692654261914966 -0.565943677806123 -0.95285351829932 -0.518734046961905 -0.686748577343537 -0.515140810846939 -0.655902044785714 -0.661496552826531 -0.63629544085034 -0.767780095068027
"5" 12 "walking" 0.27360872421875 -0.018337204411489 -0.106649116775 -0.583962207065 -0.522040023435 0.0797941473284375 0.69922245131875 0.029976775735 0.0330295544910625 -0.96738343446875 -0.9605729084375 0.1620018415375 0.070430311315625 0.0053115377979375 0.0003081123684 -0.582418267596875 -0.571359817082031 0.000101815436718751 -0.0628663472537187 -0.0592027333975 0.0960742146838125 -0.727881704983125 -0.73506282621875 -0.0623164074515625 -0.0731134377315625 -0.043678823491875 -0.0574585039485312 -0.709726149496875 -0.8112325993125 -0.0366384983846875 -0.559586545675313 -0.0038239326621875 -0.559586545675313 -0.0038239326621875 -0.6300504918575 0.030770299898 -0.63166805889875 -0.08442260098 -0.77729447821875 -0.0323395496842187 -0.578920210879375 -0.523287078731563 -0.7266403145 -0.586922577889687 -0.553076639139062 -0.96799153659375 -0.599109317756219 -0.591296422972219 -0.7754265825625 -0.602960063359687 -0.579168053712969 -0.96954674190625 -0.661246826087188 -0.74479814778125 -0.657369914584375 -0.750393858303125 -0.7334567315 -0.96174996665625 -0.55928367746625 -0.62258951955625 -0.564239194378438 -0.545052787498125 -0.717311676745625 -0.615223792904506 -0.78990285099375
"6" 13 "walking" 0.27456972840796 -0.0183337873806468 -0.108167276572637 -0.685015769826368 -0.570516379262438 0.179525219285075 0.740673476960199 -0.106657735422886 0.0149105014577114 -0.966599756965174 -0.954139544527363 0.0979518395548756 0.0814934388044776 0.00147366212280099 -0.0192572187473682 -0.70494031299005 -0.671071052075522 0.211090815264677 -0.0505002185575124 -0.0695801036455721 0.11224704484791 -0.773903734527363 -0.641849236631841 -0.191311311158706 -0.0894616084467662 -0.0438266734373134 -0.0584367238691542 -0.789537639900497 -0.677463150542289 -0.277595318004975 -0.604692369727861 -0.0620802067348259 -0.604692369727861 -0.0620802067348259 -0.685342743343284 -0.00956500025681592 -0.622856960360199 -0.115825317642786 -0.726531313462687 0.12182018157607 -0.69574524778607 -0.60075739602408 -0.62073053910597 -0.681675390293532 -0.58368124280796 -0.958430205422886 -0.722932607556716 -0.693516914701492 -0.711999947524378 -0.712892402850746 -0.66893984600403 -0.962404320845771 -0.736828557064677 -0.625975048920896 -0.688682979646766 -0.787260144975124 -0.656132589965672 -0.979922471940298 -0.647360093049254 -0.573516275293532 -0.668685326051741 -0.597176759928358 -0.667463924885572 -0.574189808910448 -0.692302573566667
"7" 13 "walkingupstairs" 0.278011397674603 -0.0165604410159524 -0.110679490349206 -0.52885689484127 -0.254675172748413 0.116947385986508 0.661059461587302 0.060921785015873 0.0911859822215079 -0.968334171428571 -0.952585444126984 0.038461112468254 0.0761624684928175 0.00771769445 -0.00132768837190476 -0.533522811499206 -0.407990456836508 0.15307040265127 -0.065414645322127 -0.0490291271295238 0.077520202405 -0.621319630738095 -0.651917139603175 -0.0432558817369048 -0.0859752421404762 -0.0444936160904762 -0.0580089014698413 -0.598100784936508 -0.785231557698413 -0.169995155024603 -0.436467135438889 -0.111703484588095 -0.436467135438889 -0.111703484588095 -0.529950774433333 -0.0377776800531746 -0.514787204833333 -0.106071074903968 -0.690752641031746 -0.053309624431746 -0.548005258984921 -0.322313774246032 -0.644102525753968 -0.523175495801587 -0.269406255292857 -0.952965288333333 -0.55982076827381 -0.459487621861905 -0.708968145839683 -0.54864970950169 -0.391742519379365 -0.956737667222222 -0.533916919283333 -0.680936401746032 -0.511657239412698 -0.650745026031746 -0.641835342539683 -0.92238947952381 -0.498310419119048 -0.659121160595238 -0.509363582493651 -0.462192926744444 -0.627916082047619 -0.516070943338889 -0.743563179047619
"8" 18 "walkingupstairs" 0.276324152142857 -0.0172831546595267 -0.108112251068681 -0.694616884972527 -0.627117507326923 0.126973451613294 0.716863248351648 -0.01578199625 0.0899901746593407 -0.980138675796703 -0.969542030412088 0.0862184266447802 0.077480921531044 0.0128850449171841 0.000848545124184616 -0.734644450054945 -0.732969175274725 0.10556982337967 -0.0373993798891483 -0.0678200104982143 0.0908402866868132 -0.804533729046703 -0.777361713653846 -0.115904915615934 -0.0944029581558242 -0.044169186546978 -0.0568482569002198 -0.842893477884615 -0.884050472967033 -0.056524480051044 -0.658370952115385 -0.103420726158791 -0.658370952115385 -0.103420726158791 -0.753904676895604 -0.0659252517868132 -0.714735668626374 -0.0611415275811538 -0.859899942335165 -0.179658335651209 -0.714227764615385 -0.663659666593407 -0.761229192087912 -0.687850549203297 -0.632838238002747 -0.984403219120879 -0.750020077252747 -0.744113444532967 -0.833032083021978 -0.742517893708791 -0.739197834642857 -0.985342657087912 -0.787757637521978 -0.816385880247253 -0.755926770686813 -0.812175241332418 -0.759665554340659 -0.99179019771978 -0.697732862178571 -0.707190560703297 -0.742323821887363 -0.62184689467033 -0.816286626730769 -0.60285176672033 -0.88466302260989
"9" 20 "walkingupstairs" 0.268425757926554 -0.0175912993773164 -0.108029145824294 -0.60484669490339 -0.369336706508757 0.13258042364339 0.628040637177966 -0.0373059475847458 0.10723075947935 -0.958201862627119 -0.952506793418079 0.115832283090424 0.079818125480791 0.00220928707107345 -0.00450611895602542 -0.627098830685593 -0.527174601581921 0.12375436292554 -0.0242488811785028 -0.0789448418069209 0.0856280628860452 -0.684586332415254 -0.573677383024548 -0.141722632690678 -0.094982179135 -0.0414356124141243 -0.0543001277610169 -0.698354145936441 -0.684280685533898 -0.0813792545353107 -0.517257429345412 -0.0502564841339266 -0.517257429345412 -0.0502564841339266 -0.619698756735028 -0.0741533345121752 -0.5168612358887 0.0449185547824859 -0.684048497355932 -0.0689328908887006 -0.612641113666949 -0.426398722000395 -0.665006945724294 -0.60314894923565 -0.381534028764124 -0.965921621073446 -0.652264226931438 -0.557791286001412 -0.732835648957627 -0.634710081102825 -0.525907610282373 -0.966820437937853 -0.626445370827119 -0.591039733449633 -0.518444509491525 -0.704481841200565 -0.567588605842655 -0.963786795 -0.560278889421186 -0.637702984241243 -0.584571446817062 -0.617887205873446 -0.606970915061638 -0.668193694322034 -0.692638075749774
"10" 24 "walkingupstairs" 0.276767046391076 -0.0176822460103884 -0.107914503687664 -0.675459176298425 -0.582490655185302 0.084690275920105 0.69498126808399 0.0729509702152231 0.0623227714146982 -0.975329699658793 -0.96089816664042 -0.0682256632774278 0.0784735003467192 0.00396900308574016 -0.00700960558805774 -0.74030054488189 -0.685979796261942 0.03127746760958 -0.0212578096847769 -0.0782440202677165 0.0841740375981627 -0.776199049939633 -0.763365457296588 -0.052708779152231 -0.0998294248142257 -0.0390749421383202 -0.0552987683401575 -0.764490030609974 -0.792718702440945 -0.112961231426877 -0.620032665162467 0.00596607212448819 -0.620032665162467 0.00596607212448819 -0.713667423769029 0.0124381577168504 -0.682447212750656 -0.0306228875627297 -0.791646550787402 -0.0159949722580052 -0.707613779580052 -0.611509042586877 -0.65585899482231 -0.664356691751496 -0.594676790059055 -0.962554466115486 -0.752245372493438 -0.703641614506562 -0.719655747391076 -0.751378154304462 -0.688280461860892 -0.964895950498688 -0.722607377748032 -0.753710479580053 -0.70948857687664 -0.794063529133858 -0.771969808976378 -0.987388091706037 -0.650121872273806 -0.630239074390551 -0.696845583388451 -0.510962120490945 -0.754131617480315 -0.616326058035171 -0.795019165380577
